dataset,queries,method,depth,metric,mean,paired_difference_from_full,paired_difference_ci95_low,paired_difference_ci95_high,primary_eligible,candidate_union_contains_full,membership_exact,ordered_exact,ordered_exact_ci95_low,ordered_exact_ci95_high,longest_exact_prefix,full_membership_recall,source_sha256
trec-covid,50,fixed-L200,200,nDCG@10,0.8070156854164132,0.0011447074715705708,-0.007836536686129325,0.009494876419533988,1,1.0,0.32,0.3,0.19103553500880954,0.437503504644534,13.36,0.925,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L200,200,MRR@10,0.9866666666666666,0.0,0.0,0.0,1,1.0,0.32,0.3,0.19103553500880954,0.437503504644534,13.36,0.925,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L200,200,Recall@100,0.1355117558289773,-0.0037314764844556233,-0.0053865713448878645,-0.0021180472563200182,1,1.0,0.32,0.3,0.19103553500880954,0.437503504644534,13.36,0.925,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L500,500,nDCG@10,0.8047146290594092,-0.001156348885433508,-0.00657948765372621,0.0035746304642303548,1,1.0,0.62,0.48,0.34797135286578046,0.6148825510995539,15.78,0.9720000000000002,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L500,500,MRR@10,0.9866666666666666,0.0,0.0,0.0,1,1.0,0.62,0.48,0.34797135286578046,0.6148825510995539,15.78,0.9720000000000002,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L500,500,Recall@100,0.13810275828750848,-0.0011404740259244382,-0.0020126449970776982,-0.0003357310561649256,1,1.0,0.62,0.48,0.34797135286578046,0.6148825510995539,15.78,0.9720000000000002,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L1000,1000,nDCG@10,0.8027796710608862,-0.0030913068839564296,-0.007874870763561588,0.000224771295461047,1,1.0,0.78,0.56,0.4230602802165686,0.6883780078874284,16.7,0.9880000000000001,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L1000,1000,MRR@10,0.9866666666666666,0.0,0.0,0.0,1,1.0,0.78,0.56,0.4230602802165686,0.6883780078874284,16.7,0.9880000000000001,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L1000,1000,Recall@100,0.13913098627209353,-0.00011224604133939595,-0.000809309335969986,0.0005915681672062856,1,1.0,0.78,0.56,0.4230602802165686,0.6883780078874284,16.7,0.9880000000000001,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L2000,2000,nDCG@10,0.8054838847266361,-0.00038709321820650677,-0.001319285769945755,0.00015800611532623465,1,1.0,0.86,0.6,0.4618143774758936,0.7239161026974346,17.7,0.9930000000000001,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L2000,2000,MRR@10,0.9866666666666666,0.0,0.0,0.0,1,1.0,0.86,0.6,0.4618143774758936,0.7239161026974346,17.7,0.9930000000000001,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L2000,2000,Recall@100,0.13983621530550572,0.000592982992072793,3.7438873542184025e-05,0.00121543841762065,1,1.0,0.86,0.6,0.4618143774758936,0.7239161026974346,17.7,0.9930000000000001,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L5000,5000,nDCG@10,0.8059236466499513,5.266870510874488e-05,0.0,0.00015800611532623465,1,1.0,1.0,0.78,0.6475845041874634,0.8724608402978559,18.66,1.0,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L5000,5000,MRR@10,0.9866666666666666,0.0,0.0,0.0,1,1.0,1.0,0.78,0.6475845041874634,0.8724608402978559,18.66,1.0,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L5000,5000,Recall@100,0.13953432754821254,0.00029109523477962115,6.0180264145373844e-05,0.0005575546769760791,1,1.0,1.0,0.78,0.6475845041874634,0.8724608402978559,18.66,1.0,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,full-wrrf,,nDCG@10,0.8058709779448426,0.0,0.0,0.0,1,,,,,,,,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,full-wrrf,,MRR@10,0.9866666666666666,0.0,0.0,0.0,1,,,,,,,,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,full-wrrf,,Recall@100,0.1392432323134329,0.0,0.0,0.0,1,,,,,,,,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
msmarco-passage-trec-dl-2019,43,dense,,nDCG@10,0.6902780590247055,0.009118254505994116,-0.04430040582676997,0.05503547523240248,1,,,,,,,,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,dense,,MRR@10,0.9476744186046512,-0.020025839793281656,-0.0988372093023256,0.052971576227390176,1,,,,,,,,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,dense,,Recall@100,0.5008934351726173,-0.06358845833284907,-0.11086206835656429,-0.023013831587764492,1,,,,,,,,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,sparse,,nDCG@10,0.5113518660503957,-0.16980793846831563,-0.23019752876105581,-0.1123668958208848,1,,,,,,,,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,sparse,,MRR@10,0.8349483204134367,-0.1327519379844961,-0.2435400516795866,-0.025177648578811607,1,,,,,,,,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,sparse,,Recall@100,0.4569850162471929,-0.10749687725827348,-0.15257790777493604,-0.06082411897231577,1,,,,,,,,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L10,10,nDCG@10,0.6360752773560131,-0.04508452716269838,-0.07780032120278811,-0.01500271613697259,1,0.0,0.0,0.0,0.0,0.08200980322579117,2.558139534883721,0.6197674418604652,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L10,10,MRR@10,0.9379844961240309,-0.029715762273901807,-0.0710594315245478,0.005167958656330749,1,0.0,0.0,0.0,0.0,0.08200980322579117,2.558139534883721,0.6197674418604652,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L10,10,Recall@100,0.22198152387375478,-0.3425003696317116,-0.39176780863703087,-0.29284393717811685,0,0.0,0.0,0.0,0.0,0.08200980322579117,2.558139534883721,0.6197674418604652,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L20,20,nDCG@10,0.6537709294529146,-0.027388875065796795,-0.05339999836811166,-0.004647954013950967,1,0.06976744186046512,0.0,0.0,0.0,0.08200980322579117,4.813953488372093,0.7,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L20,20,MRR@10,0.96843853820598,0.0007382798080472499,0.0,0.0022148394241417496,1,0.06976744186046512,0.0,0.0,0.0,0.08200980322579117,4.813953488372093,0.7,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L20,20,Recall@100,0.3420241833009593,-0.2224577102045071,-0.25771222836781216,-0.1870011430108277,0,0.06976744186046512,0.0,0.0,0.0,0.08200980322579117,4.813953488372093,0.7,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
